Nama,Sentimen,Ulasan
kempi stolan😎😎😊,Positif,Makaksih pak jokowi dan ahok🥰🥰🥰
Kemz Buginezz,Negatif,bagus doang kaga ada var
kenal`momo💦,Negatif,jngn dbuat tawuran ya dsni mahal bkinnya🥺
kentang project2,Positif,kalau stadionnya di mandalika pasti lngsung dipakai piala dunia
Kepada Yth,Negatif,Buat pajangan doang itu mah🤭
Kepo ya,Negatif,politik keras bro
kepo!!,Positif,kurang apa coba
kepokalikau,Negatif,semoga pssi ga malu2in fifa
Kepoooo,Positif,"Bagus bgt, bentuknya seperti stadion sepak bola.."
Keri Prihastowo,Negatif,malam tahun baru siap tampil😎😎
khaidar.,Negatif,tapi sayang jrg dipake diliga indonesia pdhl bgs banget
khaled,Negatif,percuma kalo gada yg maen lagi bre ;)
khalid elfrioglu,Positif,Event perdana nya JIS.. Masih anyar.. Parkir luaaaas..
Khalid Siregar,Positif,semoga tim ibukota menggunakan stadion ini pas liga1
khoer..,Positif,Sepertinya bagus
khoirul afif,Negatif,Ketika acara konser berjalan lancar tidak ada alasan lagi buat menggelar sepakbola
khoirul_najib97,Positif,BMW kah?
khoirulalfi530,Positif,"Gede banget dan keren bangeettt. Pertama kali kesini pas malam puncak jakarta hajatan, rame banget tapi ga riweuh. Bangga banget jakarta punya jis"
Khoirun Nissa,Negatif,kenapa ngak di Jis
Khusnul Fatimah,Positif,Keren abissss....stadion kelas dunia
Khusnul Khotimah,Positif,Sholat idul fitri 2022 pertama di stadion JIS
Kiki Irwansyah,Positif,mirip old trafford🥰🥰🥰
kikigiggs,Positif,GLORY .. GLORY ...
kikigiggs,Negatif,kpan dipake nih pak..
kilian,Positif,coba kalau yang bangun bukan pak Anies pasti udah d pake timnas yang bangun pak Ganjar atau puan pasti d pake
kiluua,Negatif,standar fifa tapi gk standar pssi 😂😂
kim jon un,Negatif,bayangin bangtan konser di JIS 💜💜💜
Kim_sarry🌷,Negatif,semoga bang Dodo bisa bermain stadion ini sebelum pensiun🥺
KING ARSENAL,Positif,Alhamdulillah baik 🌹
king haland👑,Positif,kalau gini mah .pasti gua yakin bnyak anak muda Indonesia yg bakal tmbah semangat jadi pemain bola
Kingdom Sejati,Negatif,Bangunannya bagus tapi akses dan flownya nggak bagus buat konser dengan kapasitas besar
Kintan Maulidina,Negatif,"wah, bagus kali
bikin iri di provinsi kami(Bangka Belitung) gak ada stadion yang keren🥺
gak usah gede, kapasitas 20.000 aja kalo keren udah bersyukur"
Kinzuy ⛅,Positif,Stadion terbaik di Indonesia dengan jarak pandang yang sangat dekat
Kismullah,Positif,malesial ketar ketir
Kiyy_,Positif,Stadion JIS cocok utk konser musik Lokal dan Reuni 212..
Kj88,Negatif,tidak standar PSSI yah😁
kk_azta77,Positif,6 hari dalam satu Minggu saya lewat depan JIS 😁
kk_azta77,Negatif,"sabar dulu,aksesnya blum memadai"
kloper,Positif,JIS nih bos
kluy*z,Negatif,tinggal Var yoo bisaa
kmbing_geming,Negatif,jadi inget stadion spek sawah
Kodok komunis😁,Positif,"Sudah banyak stadion yang saya kunjungi, tetapi melihat dan merasakan stadion kebanggaan warga Jakarta, penilaian sy ""luar biasa"" tetapi saya agak kecewa dengan saund system yang dibanggakan, saat acara Jakarta Hajatan 495 kurang bagus, apakah telinga atau tempat duduk saya yang terlalu tinggi ?"
koesnindar Channel,Positif,"Megah, keren, bersih sekali"
Koko Kuswanto,Negatif,"Pokoknya stadion ini bukan Standar PSSI 🗿🤣🤣🤣🤣🤣, lawak² PSSI nya🤣"
kokom,Positif,Pernah kesini untuk nonton konser disini dan tempatnya bagus banget dan luas banget.Cocok banget buat konser kpop
Kokom Komariyah,Negatif,Ga kebayang panasnya klo main disana.
Kombes Regnum,Negatif,pagar penonton sudah aman kah???? 😂😂
komorai,Positif,"Waah.. senang sekali berkunjung ke sini, megah, berkelas."
Komunitas Brama asli,Positif,Menarik
Kontil Pea,Positif,pertama ..J I S ..keren 👍👍
kopi anteng,Positif,Stadium bertaraf internasional di Jakarta berstandar FIFA kapasitas 82ribu penonton. Luar biasa atmosfer saat menonton dan duduk di sana. Kereenn.. terima kasih Pak gubernur Anis baswedan dan Pemprov DKI serta jajarannya.
Kopi Pahit channel,Negatif,wkwkkwk
Kopi Samar,Positif,stadion udah mantap pemain tolong di tingkatkan lagi
Korean spicy,Positif,"gw kira di awal stadion eropa rupanya Indonesia, kelaazzz🥰"
Kori5,Positif,suatu hari nanti ku akan ada di tribun penonton JIS
kortailus premanuella,Negatif,berharap jis gk dipakai konser selain pembukaan Olimpiade olahraga
Koshi.,Negatif,Stadion sekelas ini katanya gak standar PSSI.....
Kratom Kalimantan,Positif,keren tuh yang ada petirnya
krayy ༆,Positif,itu kerja kuli Indonésia ya bukan kerja pa anis😅😅😅😅
Krisna Maulana417,Positif,Indonesia sekarang kaya luar negeri😅
Krisna Mukti9687,Negatif,buat konser Dan kampanye pas ini
krizs,Negatif,Anis nih bos
Kuat Ma'ruf,Positif,Keren gan ane mau lagi kesana
Kucing Ngantuk,Negatif,apakan sistem gas air aktif?😂
kuciyoseee,Negatif,standar konser ya wkwk
kumis.maut,Negatif,Biarin aja JIS buat konser…..siriiiikkkk aja sih wkwkwkwk
kuningg79,Negatif,berapa banyak bahan bakar fosil yang dipakai buat nyalain listrik nya ?😳
kura-kura ninja,Positif,"Nyaman,, megah sekalian gedung nya"
kurniasih nia,Positif,coba ngabilnya pas di kalo sunternya😂😂
Kurniawan 🔥,Positif,Kereeenn...  Home
Kurniawan Teguh Setyabudi (Wawwan),Positif,Mantap
Kusnadi M,Negatif,Belum selesai pengerjaan nya...
KUSNADI SUKARTA,Positif,semoga fifa berkunjung ke stadium jis dan jadikan stadium piala dunia u 20
Kuyuk official,Positif,Pelaksanaan Shalat Ied pertama kali di tahun 1443 H bertepatan dengan tahun 2022
Kwarran KelapaGading,Positif,Bismillah Semoga Masuk Piala Dunia Amin
KY • YUSUF⁰⁴,Negatif,jirr sewa lapangan 5jt mending main di lapangan futsal🗿
Kyl,Negatif,ini bukan standar pssi
L,Negatif,rumputnya skarang rusak parah. jelek
L. nurhakim.03,Negatif,emng apanya yg masih belum standar PSSI
L.A.J,Positif,"stadioan sangat bagus dan indah, dan juga berstandar fifa walaupun nggk standar pssi tapi nggk apa2 karena standar pssi itu lapangannya becek jelek dan gratis karena dikepala pengurus pssi isinya otaknya uang saja, karena pssi sarangnya mafia bola."
Lah_ Doanx,Negatif,masalahnya tetap dirumput
lalana,Positif,JIS adanya di jakarta  utara sunter lewat busway ke JIS -Harmoni koridor 12..lokasi stadiom sangat bagus
Lanny Elsugi,Negatif,untung ga standar pssi
LanzZy,Negatif,ini standar fifa ygy bukan pssi
lapak.dagang.maknoor,Negatif,sulitnya gak bisa dipake selebrasi slide
Laskar Badai Selatan 🐲🐲,Negatif,Tapi sayangnya di coret dari deretan piala dunia u20 FIFA jadi buat apa?
LEE REMIX,Positif,inilah kinerja Bapak Anis
leo,Positif,Stadion baru bertaraf internasional dan menjadi kandang Persija.
Leo Agustinus,Positif,Stadion baru bertaraf internasional dan menjadi kandang .
Leo Agustinus,Positif,stadion kelas Eropa
LEO MESSI,Negatif,T-tapi kan belum standar pssi😡😡
Leo Messi✨🇦🇷,Positif,Pengalaman solat id pertama di jis menyenangkan
Leo Roymanza,Negatif,kenapa nggak disini aja black pink konser
Leo🐯,Positif,rasa eropa
leogurl💅🏻,Negatif,selalu ada...
leonidas ngahuwie,Negatif,info dong ada yg jual tiket fest B?
levianarosa,Positif,Keren. Kebetulan lagi ikut proyek disini ... SPACE FRAME RR 👍
Lian Harumi,Positif,Stadion di negeri sendiri sekelas Eropa kerenn🥰
Libraa,Negatif,coba versi FIFA Qatar soundnya.joongkok
Lidya Love❤,Positif,ini di bangun Karna menyambut piala dunia u 20 😀
Lidya Love❤,Positif,Jakarta International Show
light_fusion,Positif,Tempatnya bagus dan nyaman keren banget..
Lila batubara,Negatif,Pengurus PSSi nya lebih seneng Nonton Konser drpd Nonton Bola Indonesia😂
lili_junaidi67,Positif,mantap .selamat buat jakarta
Lillah jaya,Positif,bagus bgt kesitu pas Persija maen 🥰🥰
Lily-ani,Negatif,apa ini stadion JIS
Ling lung,Negatif,yang pasti kuli nya yang kerja
Lintangkasa,Negatif,Moment paling epic si kalo FMD di gelar di JIS berasa nonton bola di stadion eropa kita jafi bisa lebih dekat melihat sang idola
Little boy,Negatif,Setadion pajangan
Littlekimy,Negatif,stadion di bangun untuk netizen
Liuz kady,Positif,Bagus tempatnya dan sesuai dg namanya yg berstandar internasional
Liya Asyari,Negatif,Toiletnya kotor
Liza Liza,Negatif,versi malam ng
LM21 Ciro,Positif,THIS IS JAKARTA NOT EUROPA😇
Lntgg⚡,Positif,Bismillah Kamera😅
LOL,Negatif,jare Jakarta Arep klelep kok malah di bangun?
lopelopeaing,Negatif,pupus TIMNAS😌😌😌😌😌
Lopes,Negatif,"sengketa tanah diselesaikan pak ahok,trimakasih pak skrg terwujud"
lordmuji,Negatif,Kandang  nih
Love You,Negatif,STADION KONSER INDONESIA
luckiesttttt_,Negatif,kata golongan kiri ini karya jokowi
LUCKY IS BACK,Positif,amazing ! 😎😍
Lucky Lutdiansyah,Positif,Stadion keren
luk man,Positif,yang meresmikan pasti Pak presiden🥰
lukashey1410,Negatif,"ibaratnya stadion teladan medan dibuat segede itu
bagus tapi gak ada akses buat parkir dan jalan
kecil aja gak ada akses apa lagi kaya jis 😂
MEDAN"
luke ginting's,Positif,"Udah 2x kemari , Pertengahan Puasa kemarin Nonton bola Bareng , Idul fitri , sholat Berjamaah disana Bareng teman teman."
Lukiihaw Nur Hakim,Negatif,Cmn sayang tdk di pake piala dunia u 20.karya karya anak bangsa yg membanggakan dunia internasional.akibat selisih faham.
Lukman Lukman,Positif,jis adalah produk anak bangsa alias lokal pride .. tanpa tenaga kuli asing... mantap
Lukman Projayan,Negatif,"Sayang stadion sebagus itu, gak di pake di ajang piala aff cup"
Lukman sae,Negatif,Sayang bayar sewa stadion mahal
Lulu Nur,Negatif,Inpo yg msh punya tiket
luqman_khakim31,Negatif,WTS Tiket Dewa 19 JKT! Yang minat DM
lusilimm,Negatif,Besokk aku mau kesanaa ibadah natal … prusahaan aku jg ikut bngun JIS 😁
lusyelias,Positif,Kereen
Lutfi Soleman,Negatif,tidak standar pssi🗿
Lyftz.,Negatif,gila 5 juta nyewa
Lym`,Negatif,wtb 2 tiket pleaseee🙌
lyna_marlina12,Negatif,Sampai sono egga boleh maauk syang sekali
M Ariyanto,Positif,"Spektakuler, stadion kelas dunia"
M Bayu Riyanto,Positif,blm 100% aja dah bagus apa lagi dah 100%
M haikal maulana😎,Positif,"Good Design Arsitekturnya dan awal jadi 95% selain olahraga untuk Ajang Internasional, pertama liat berita bisa sholat ied dihalaman luar, keren. Survei Liat tgl 16 Mei 2022 info security Rampung Finally tunggu estimasi kurang lebih 3 Bulan Lagi untuk 100% nice Pemprove DKI dan Bpk Anies Yth."
M Ihsan Prabawa,Positif,"Kemaren baru pertama kalinya saya mengunjungi tempatnya, dan itu luar biasa megah dan luas"
M Isned official,Negatif,Kenapa ga di pakai untuk tuan rumah indonesia
M Jefri Satria,Positif,Megah
M R,Positif,Tempatnua bagus luas cocok untuk PIALA DUNIA
M. Akromin Faisal,Positif,"Puas dengan hasil yg ada, sukses trus pemda jakarta, selalu berikan pelayanan yg terbaik buat masyarakat nya."
m. Arifin,Positif,"Megah bgt, fasilitas jg baik. Harus kita jaga dan rawat sama2"
M. Kautsar,Positif,Kereen...Megah...indah  saya warga semarang Bangga Indonesia mempunyai stadion yg megah ini
M.Fadhil Leo,Negatif,stadion ini khusus world cup 2060
M.Minz.real,Positif,kerren
m.rafatar pujiono,Positif,"Sangat sangat membanggakan untuk prestasi Gubernur DKI jakarta yang telah membangun stadio bertaraf internasional dan bangga menjadi warga Jakarta bisa memiliki stadion seperti JIS. Untuk tempat nya sangat bersih, sangat nyaman dan sangat sangat luar biasa. Terima kasih pak Goodbenerku Anies Baswedan.. Salam dari wargamu 🙏🙏"
M.Riski Chazihad,Negatif,Biaya yg dikeluarkan yg GK sedikit
M.W.ISAL,Negatif,Kapan liag persija maen di stadion JIS
m_acil_com,Negatif,Nganggur mulu nih stadion
m_fajar77_,Positif,Oklah tapi belom jadi banget. Di sana-sini masih banyak yg perlu difinalisasi.
Macca Madinah,Positif,Kren . banget...semoga ..jadi saksi sejarah ..para pemain..Persija..menjadi bintang...dunia.......ayo .jadilah bintang sepak bola...
Mad Sukri,Positif,Kren . banget...semoga ..jadi saksi sejarah ..para pemain....menjadi bintang...dunia.......ayo .jadilah bintang sepak bola...
Mad Sukri,Positif,"Terbukti....bukan politik tapi acara dewa kemarin malam....tertib dan aman...tetapi bermasalah dengan kepulangan penonton yang sampai di dalam bis transjakarta 2 jam stack di depan jis ....ribuan jalan kaki 1.5 km sampai 3.5 km mencari gojek online , gocar online dengan berjalan di trotoar yang rusak....ini yang dimaksud FIFA...belum layak bukan stadionnya.......makannya berfikir cerdas...ini bisa tertib karena penonton dewa 19 yang semua  intelek ( cerdas, tertib, lebih santun ) ....bagaimana kalau ini penonton sepakbola...bisa terjadi hal yang tidak diinginkan kembali seperti tragedi Kanjuruhan Malang. Makannya jangan mau percaya oleh orang orang yang tidak mau cerdas menggunakan nalar hanya mencari celah seolah olah ini politik. Sekelas panitia penyelenggara Dewa yang lebih pro aja...nggak mampu mengatasi keterbatasan ini......semoga paham semuanya .salam NKRI. Berfikir positif."
Maddy wijaya,Positif,salah satu karya anak bangsa yg terlihat bagus nan indah👍👍👍
madepmantep7,Negatif,ada sekolah ane
Mads.,Negatif,Stadion JIS buat Konser dulu sepak bola kemudian 😂😂😂
mafudwafi,Negatif,GW BERDOA JIS JANGAN PERNAH  DI PAKEK BUAT LIGA INDO 👏
maghan_musa,Positif,stadion persija
Malik MDR,Positif,"gw kira Qatar,gw ngga baca hastag nya😁"
maluku_picture,Positif,stadion nya megah dan bersih 👍👍👍👍👍
mama ehing,Negatif,"di bangun buat nanam padi,😂😂"
maman.n22,Negatif,Ikut nyimak stadion jakarta
Mamih Hasby,Positif,STADION TERBAIK  BELUM ADA DI  NEGARA2 ASIA TENGGARA BAHKAN  MASUK 10 BESAR STADIIN TERMEWAH DIDUNIA INI SUATU KEBANGGAAN ANAK BANGSA
man,Positif,BELUM PERNAH ADA SEBELUMNYA INI KARYA ANAK BANGSA SENDIRI
man,Negatif,bikin stadion bukannya buat sepakbola malah tempat konser😂...bukan standar FIFA lagi
manalupunjung123,Positif,SAYA BANGGA SAMA PAK JOKOWI ❤️❤️❤️
Manchester United,Positif,"Masha Allah ini kerjanya seorang pemimpin yg nyata, bukan cuma pencitraan. Pa Anies layak jdi presiden 🥰"
Mandala,Positif,"Serasa main di Eropa, lapangan standard internasional, tempat nyaman ada ruang ganti ber AC , hanya saja ga ada musholla, akses dekat dgn pintu tol, deket Ancol...pokoke...manteeppp"
Mandariy Official,Negatif,kapan bisa konseran disini. udh pasti balik modal😂
mandazhr,Positif,Stadion Kelas Dunia🔥
Mandra,Positif,Mantap. Semoga tetap dirawat
Mang Next,Positif,Sampai saat ini memang belum selesai semua tetapi hampir selesai mudah mudahan bisa dijadikan sebagai homebase persija
mansur awi,Positif,Sampai saat ini memang belum selesai semua tetapi hampir selesai mudah mudahan bisa dijadikan sebagai homebase
mansur awi,Positif,keren diluar kaya stadion batakan
Manto Sheburean,Negatif,apike ga aturan koyok ngene hare
manusia,Positif,andai semua tim di indo stadionnya kek gini
manusia biasa,Negatif,"belum standar fifa, kata federasi wakanda"
manusia_terdaftar,Negatif,standar fifa tapi belum standar pssi😂
Mar,Negatif,gak sabar lagi pengen ke Jakarta
mar cello,Positif,nice
mara,Positif,"coba yang bangun ini bukan masa kepemimpinan pak anis , pastinya gak standar fifia pun dipakai untuk laga internasional...."
Marbot,Positif,Stadion kebanggan Jakarta yang dibuat dengan arsitektur terbaik. Semoga bisa dimanfaatkan dan dirawat dengan baik oleh warga Jakarta.
Marco Lau Santosa,Positif,yok kita trending kan lagi stadion jis nya biar fyp sedunia🥰😇😇👍🏼👍🏼👍🏼👍🏼🇮🇩🇮🇩
mardani,Positif,"pak Anis mah gitu! diem2 tau2 udah jadi aja, klo yg onoh berkoar2 dlu tapi ujung-ujungnya mangkrak!😂😂😂"
Mardius21,Positif,"Sarana publik yg tidak hanya mempunyai visi maju, baik fasiliitas maupun teknologi tingginya, tapi juga memperhatikan kepentingan beribadah kpd sang pencipta"
Margani Muhammad Mustar,Positif,Dahsyat fotonya 🙌
marhaenist,Positif,Mantap PAKDE JOKOWI.... yg blng kerja gubernur skrng MIMPI x..... RUMAH DP 0 % aja RAIB DITELAN BUMI🤣🤣🤣
Marhandy,Positif,"Bagus banget, cocok buat konser internasional dan lapangan bolanya keren banget."
Maria Vania69,Negatif,bukanyah setadiun pertama di Indonesia GBK yh min?
Marjan_after,Negatif,"Stadion terburuk,safety buruk,parkir sempit."
Marjuki Pratama,Positif,Coba ada aja 6 stadion lagi seperti ini di indonesia....kita bisa mengajukan diri menjadi tuan rumah piala dunia senior....
Maroko El mubarok,Positif,Stadion kebanggaan macan kemayoran hampir jadi 😁😳
Martill🐻,Positif,ini stadion terbagus yang kami lihat. the best.
Martin Novi Anggoman,Negatif,Parkir sulit
martinz.lezmon,Positif,Luar biasa bagusnya
Martono Tono,Negatif,ga standar PSSI
mas,Positif,indo ni bos
Mas Agung,Positif,stadion ala Eropa suporter masih indonesia
mas Dim,Negatif,ini ya yang katanya bukan std pss1😂
Mas F้,Negatif,coba buat kakai supaya bisa jalan juga
mas Iwan,Negatif,Nabung yok nabungg... budal depan nonton langsung ke stadion🥰🥰🥰
Mas Jun🐻,Negatif,pssi butuh uang untuk mendaftarkan stadionnya agar bisa dibuat main wwkwk
MAS RINGGA👤,Positif,"Stadium yg dibangun dan dimiliki Pemda DKI Jakarta ini adalah yang sangat megah dan representatif, sesuai standart internasional"
Massss R,Negatif,stadion khusus buat pejalan kaki
Mastok,Negatif,Pssi : mohon maaf stadion anda tidak sesuai standar
Matchannel,Positif,TERIMAKASIH PAK JOKOWI
matthew rizaldy,Negatif,parkir luas ngak?
mattyusri,Negatif,yg katanya 'bukan standart PSSI'
mau comment boleh?,Negatif,gue kalo nontom konser pasti yg paling pojok atas yg deket sm atap😂😂😂😂 soalnya paling murah
mau tau apa?,Positif,"main disini aja pak FIFA matchday,buat lawan tim besar seru tuh"
Maulana,Negatif,liat rumpur jis dari dekat aja gimana kualitas nya
maulanasari,Positif,Bagus Banget & instagramable
Mayasari Mayasari,Negatif,Blm dibuka untuk umum. Nunggu 3 bulan lagi dibuka untuk umum menyelesaikan proyek pembangunan.
Maysa Mei,Positif,sukses selalu buat bpk Anis Baswedan 💪💪
Mbah Amen,Negatif,Ga msuk stndar sewanya kli 😳 mngkin kemhalan buat pssi ?
Mbayuni🦋,Negatif,standar PSSI kalo cuaca hujan terus lapangan nya banjir😂
mbuhsapa2513,Negatif,Ada view yg atap stadionnya tertutup ??
mbwmx,Positif,DARI JAKARTA UNTUK JAKARTA
McCartney,Negatif,stadion untuk sepakbola ❌ stadion untuk konser ✅
mdheni.id,Negatif,ingat janji Anis Persija Juara?
mdheni.id,Negatif,persitara akhirnya punya stadion ngga nyangka mantaap makasih pak anies
mdk🔷,Positif,Mantabs standard FIFA 👍👍
Megandaru Kawuryan,Negatif,jis maupun udh ad var blom standar pssi
MEGAWATI☭࿖,Negatif,"Bagus ,cuman di luar rada engap, klo di dlm adem 😂"
